"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Homeownership Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phhoo","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","86.51","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","78.45","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85375","AZ","85375","=""85375""","88.17","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85377","AZ","85377","=""85377""","90.50","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","62.25","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","74.93","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","65.92","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","69.15","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","91.67","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","93.84","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","82.19","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","79.07","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","61.11","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","80.55","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","93.49","2019-2023","2020","Census","Maricopa (County, 2022)"
